timestamp,hour_index,measured_power_util_mean,derived_requested_demand_mw,observed_cpu_ncu_lower,observed_cpu_ncu_upper,priority_candidate_cpu_ncu_lower,priority_candidate_cpu_ncu_upper,priority_candidate_cpu_share_lower,priority_candidate_cpu_share_upper,ambiguous_priority_cpu_share_lower,ambiguous_priority_cpu_share_upper,unknown_priority_cpu_share_lower,unknown_priority_cpu_share_upper,synthesized_priority_cpu_share_lower,synthesized_priority_cpu_share_upper,missing_cpu_overlap_seconds,cpu_conflict_overlap_seconds,unknown_capacity_machine_seconds,machine_capacity_complete,priority_candidate_semantics,candidate_proxy_used_as_flexibility,cpu_share_mapped_to_power
2020-01-01T00:00:00+00:00,0,0.692416666666667,173.104166666667,639.342595115238,639.342595120801,254.886222420352,254.886222420352,0.398669233624568,0.398669233628037,0.00689276823004321,0.00689276823010319,0,0,0.0398677212859918,0.0398677212863387,0,1,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T01:00:00+00:00,1,0.7035,175.875,707.12780169487,707.127806115945,287.462705538306,287.46270583474,0.406521569612381,0.406521572232392,0.00435831148485126,0.00435831151210011,0,0,0.0371118090735109,0.0371118093055399,0,8,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T02:00:00+00:00,2,0.708583333333333,177.145833333333,715.280015267001,715.280015776422,302.325956568433,302.325956669363,0.422667976097338,0.422667976420186,0.00368674655760403,0.00368674656022973,0,0,0.0388305011919308,0.0388305012195858,0,8,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T03:00:00+00:00,3,0.691083333333333,172.770833333333,688.107659218841,688.107659564018,278.370487183594,278.370487528772,0.404544962483935,0.404544962782635,0.00367744300912589,0.00367744301097061,0,0,0.0393700082533367,0.039370008273086,0,3,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T04:00:00+00:00,4,0.699916666666667,174.979166666667,705.610803243849,705.610803439882,280.640419371388,280.640419565037,0.39772693116414,0.397726931330772,0.00296450737510167,0.00296450737592527,0,0,0.0426197065818794,0.04261970659372,0,6,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T05:00:00+00:00,5,0.720833333333333,180.208333333333,732.035839728249,732.035840646956,285.534849219448,285.534850119081,0.390055832946658,0.39005583370641,0.00154518615433886,0.00154518615627807,0,0,0.0456021463364578,0.0456021463936885,0,2,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T06:00:00+00:00,6,0.7365,184.125,754.909248621994,754.90924890995,298.194923497522,298.194923785479,0.395007643689418,0.395007643920189,0.00106157562302095,0.00106157562342588,0,0,0.0450774049608175,0.045077404978012,0,3,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T07:00:00+00:00,7,0.755583333333333,188.895833333333,806.362769482136,806.36277094841,299.637715458692,299.637716922317,0.371591703880552,0.371591705022394,0.00090234460596191,0.000902344607602716,0,0,0.0447789659068717,0.0447789659882969,0,10,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T08:00:00+00:00,8,0.75725,189.3125,809.729911182986,809.729911547237,276.184983555796,276.184983913423,0.341082847180537,0.341082847474346,0.000875027369977741,0.000875027370371365,0,0,0.0462113752524427,0.0462113752732305,0,4,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T09:00:00+00:00,9,0.758916666666667,189.729166666667,819.990725700325,819.990732997788,270.052766601947,270.052767960403,0.329336364646531,0.32933636814291,0.000870736640724259,0.000870736648473332,0,0,0.0471197129327172,0.0471197133520565,0,4,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T10:00:00+00:00,10,0.755333333333333,188.833333333333,790.94477156798,790.944771890905,276.350489111212,276.350489427778,0.349392902062111,0.349392902325318,0.000859797025914707,0.000859797026265743,0,0,0.0485440168039245,0.0485440168237439,0,5,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T11:00:00+00:00,11,0.752583333333333,188.145833333333,780.967902475463,780.967903009256,271.377506304649,271.377506619626,0.347488680864371,0.347488681224901,0.000857645849973414,0.000857645850559617,0,0,0.0494766862899461,0.0494766863237635,0,6,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T12:00:00+00:00,12,0.7485,187.125,771.648151491748,771.648158872393,252.422191859108,252.422195842287,0.327120839024553,0.327120843938166,0.000825817678480231,0.000825817686378995,0,0,0.0501336018545008,0.0501336023340176,0,7,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T13:00:00+00:00,13,0.730583333333333,182.645833333333,744.930977717506,744.930977838834,213.973019262693,213.973019384021,0.287238718301544,0.287238718417634,0.000851666438625549,0.000851666438764262,0,0,0.0533588038072291,0.0533588038159198,0,2,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T14:00:00+00:00,14,0.725333333333333,181.333333333333,736.142523264885,736.14252374808,210.57006642633,210.570066759321,0.28604524223035,0.28604524261167,0.000892448308192362,0.000892448308778155,0,0,0.0538994789384254,0.0538994789738044,0,3,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T15:00:00+00:00,15,0.741,185.25,755.906226941215,755.90622713036,223.799522368556,223.799522368556,0.296067837962076,0.296067838036159,0.00086176369488463,0.000861763695100264,0,0,0.0521150333513567,0.0521150333643971,0,4,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T16:00:00+00:00,16,0.742666666666667,185.666666666667,753.876393587854,753.876394743919,236.379041820367,236.379041820367,0.313551456801697,0.313551457282526,0.00087233774954686,0.000872337750884585,0,0,0.0555726595598621,0.0555726596450824,0,5,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T17:00:00+00:00,17,0.756083333333333,189.020833333333,788.453359014988,788.453359106117,249.479103059504,249.479103128645,0.316415803420788,0.316415803489557,0.000764921377812327,0.000764921377900736,0,0,0.0582193442075322,0.0582193442142611,0,4,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T18:00:00+00:00,18,0.755333333333333,188.833333333333,800.500297815005,800.500300831265,247.272413816167,247.272413816167,0.308897340275065,0.30889734143898,0.000775095618394717,0.000775095621315253,0,0,0.0574912771941735,0.0574912774107988,0,5,26.31312,false,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T19:00:00+00:00,19,0.755583333333333,188.895833333333,806.59714720832,806.59714720832,243.404520001785,243.404520001785,0.30176714713686,0.30176714713686,0.000787053738702879,0.000787053738702879,0,0,0.0575731204985996,0.0575731204985996,0,0,18.595647,false,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T20:00:00+00:00,20,0.756166666666667,189.041666666667,799.983391869333,799.983395340708,261.023646698949,261.02364748732,0.326286331036928,0.326286332795169,0.000754208378513807,0.00075420838178655,0,0,0.0555393279022798,0.055539328143282,0,5,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T21:00:00+00:00,21,0.755583333333333,188.895833333333,797.913418471019,797.913418604003,288.301684186194,288.301684319178,0.361319508498359,0.361319508604805,0.000770793197909203,0.000770793198037668,0,0,0.0525457104614445,0.0525457104702021,0,2,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T22:00:00+00:00,22,0.746583333333333,186.645833333333,771.875959246424,771.875959390269,326.237834177547,326.237834321393,0.422655778133122,0.422655778240715,0.000779820964577566,0.000779820964722892,0,0,0.0519061145977676,0.0519061146074408,0,4,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
2020-01-01T23:00:00+00:00,23,0.732,183,749.72527169625,749.725271770954,321.470028619547,321.470028688159,0.428783770206399,0.428783770262158,0.00078883075434101,0.000788830754419611,0,0,0.0509598630128986,0.0509598630179763,0,9,0,true,low_priority_usage_candidate_not_observed_flexibility,false,false
