relative_hour,source_start_time_microseconds,source_end_time_microseconds,eligible_domain_count,complete_valid_domain_count,measured_power_util_unweighted_mean,measured_power_util_unweighted_median,peak_normalized_unweighted_mean
74,267000000000,270300000000,55,55,0.671553030303,0.648666666667,0.915642514652
75,270600000000,273900000000,55,55,0.676046969697,0.649166666667,0.921769866896
76,274200000000,277500000000,55,55,0.683242424242,0.660916666667,0.931580654424
77,277800000000,281100000000,55,55,0.690468181818,0.684333333333,0.94143275923
78,281400000000,284700000000,55,55,0.697954545455,0.704583333333,0.951640192621
79,285000000000,288300000000,55,55,0.699022727273,0.707083333333,0.953096626651
80,288600000000,291900000000,55,55,0.703318181818,0.713583333333,0.958953350728
81,292200000000,295500000000,55,55,0.704189393939,0.701916666667,0.960141222454
82,295800000000,299100000000,55,55,0.705192424242,0.710583333333,0.961508824338
83,299400000000,302700000000,55,55,0.704577272727,0.708416666667,0.960670083606
84,303000000000,306300000000,55,55,0.703948484848,0.703416666667,0.959812750099
85,306600000000,309900000000,55,55,0.69921969697,0.69875,0.953365188954
86,310200000000,313500000000,55,55,0.686440909091,0.68725,0.935941693058
87,313800000000,317100000000,55,55,0.675434848485,0.688916666667,0.920935257892
88,317400000000,320700000000,55,55,0.657974242424,0.667583333333,0.897128242632
89,321000000000,324300000000,55,55,0.657360606061,0.671583333333,0.896291567763
90,324600000000,327900000000,55,55,0.648528787879,0.66775,0.884249647254
91,328200000000,331500000000,55,55,0.647798484848,0.66275,0.883253900867
92,331800000000,335100000000,55,55,0.648846969697,0.666083333333,0.884683478667
93,335400000000,338700000000,55,55,0.65401969697,0.6685,0.891736337926
94,339000000000,342300000000,55,55,0.654218181818,0.657,0.892006966093
95,342600000000,345900000000,55,55,0.65321969697,0.661,0.890645561801
96,346200000000,349500000000,55,55,0.663159090909,0.67825,0.904197628801
97,349800000000,353100000000,55,55,0.666284848485,0.672416666667,0.908459505969
98,353400000000,356700000000,55,55,0.664846969697,0.658166666667,0.906499001155
99,357000000000,360300000000,55,55,0.666922727273,0.659583333333,0.909329234659
100,360600000000,363900000000,55,55,0.6699,0.659833333333,0.913388657168
101,364200000000,367500000000,55,55,0.676104545455,0.671833333333,0.921848369724
102,367800000000,371100000000,55,55,0.686472727273,0.681083333333,0.935985076199
103,371400000000,374700000000,55,55,0.692604545455,0.688083333333,0.944345627289
104,375000000000,378300000000,55,55,0.69798030303,0.701166666667,0.951675312307
105,378600000000,381900000000,55,55,0.699781818182,0.69625,0.954131624451
106,382200000000,385500000000,55,55,0.695445454545,0.684916666667,0.948219122049
107,385800000000,389100000000,55,55,0.690346969697,0.683833333333,0.94126749012
108,389400000000,392700000000,55,54,0.69174845679,0.689,0.943178375945
109,393000000000,396300000000,55,54,0.682648148148,0.680458333333,0.930770376706
110,396600000000,399900000000,55,55,0.66873030303,0.675416666667,0.911793810259
111,400200000000,403500000000,55,55,0.647507575758,0.654416666667,0.882857255004
112,403800000000,407100000000,55,55,0.641327272727,0.636583333333,0.87443059627
113,407400000000,410700000000,55,55,0.644163636364,0.661833333333,0.878297893439
