hour_index,cluster_window_start_us,cluster_window_end_us,power_source_first_sample_time_us,power_source_last_sample_time_us,power_valid_sample_count,measured_power_util_mean,measured_power_util_min,measured_power_util_max,observed_cpu_ncu_lower,observed_cpu_ncu_upper,observed_cpu_time_ncu_seconds_lower,observed_cpu_time_ncu_seconds_upper,priority_candidate_cpu_ncu_lower,priority_candidate_cpu_ncu_upper,priority_candidate_cpu_share_lower,priority_candidate_cpu_share_upper,ambiguous_priority_cpu_share_lower,ambiguous_priority_cpu_share_upper,unknown_priority_cpu_share_lower,unknown_priority_cpu_share_upper,synthesized_priority_cpu_share_lower,synthesized_priority_cpu_share_upper,missing_cpu_overlap_seconds,cpu_conflict_overlap_seconds,known_machine_capacity_ncu_time_average,active_machine_count_time_average,known_capacity_machine_count_time_average,unknown_capacity_machine_seconds,machine_capacity_complete
10,36000000000,39600000000,36600000000,39900000000,12,0.755333333333333,0.752,0.758,790.94477156798,790.944771890905,2847401.17764473,2847401.17880726,276.350489111212,276.350489427778,0.349392902062111,0.349392902325318,0.000859797025914707,0.000859797026265743,0,0,0.0485440168039245,0.0485440168237439,0,5,1219.73211435139,1220.23211435139,1220.23211435139,0,true
11,39600000000,43200000000,40200000000,43500000000,12,0.752583333333333,0.75,0.755,780.967902475463,780.967903009256,2811484.44891167,2811484.45083332,271.377506304649,271.377506619626,0.347488680864371,0.347488681224901,0.000857645849973414,0.000857645850559617,0,0,0.0494766862899461,0.0494766863237635,0,6,1220.46119700694,1220.96119700694,1220.96119700694,0,true
12,43200000000,46800000000,43800000000,47100000000,12,0.7485,0.745,0.75,771.648151491748,771.648158872393,2777933.34537029,2777933.37194061,252.422191859108,252.422195842287,0.327120839024553,0.327120843938166,0.000825817678480231,0.000825817686378995,0,0,0.0501336018545008,0.0501336023340176,0,7,1220.46459568472,1220.65775637639,1220.65775637639,0,true
13,46800000000,50400000000,47400000000,50700000000,12,0.730583333333333,0.722,0.743,744.930977717506,744.930977838834,2681751.51978302,2681751.5202198,213.973019262693,213.973019384021,0.287238718301544,0.287238718417634,0.000851666438625549,0.000851666438764262,0,0,0.0533588038072291,0.0533588038159198,0,2,1221.22986592944,1221.22986592944,1221.22986592944,0,true
14,50400000000,54000000000,51000000000,54300000000,12,0.725333333333333,0.72,0.733,736.142523264885,736.14252374808,2650113.08375359,2650113.08549309,210.57006642633,210.570066759321,0.28604524223035,0.28604524261167,0.000892448308192362,0.000892448308778155,0,0,0.0538994789384254,0.0538994789738044,0,3,1221.38375793528,1221.38375793528,1221.38375793528,0,true
15,54000000000,57600000000,54600000000,57900000000,12,0.741,0.732,0.756,755.906226941215,755.90622713036,2721262.41698837,2721262.4176693,223.799522368556,223.799522368556,0.296067837962076,0.296067838036159,0.00086176369488463,0.000861763695100264,0,0,0.0521150333513567,0.0521150333643971,0,4,1220.01909717778,1220.01909717778,1220.01909717778,0,true
16,57600000000,61200000000,58200000000,61500000000,12,0.742666666666667,0.738,0.75,753.876393587854,753.876394743919,2713955.01691628,2713955.02107811,236.379041820367,236.379041820367,0.313551456801697,0.313551457282526,0.00087233774954686,0.000872337750884585,0,0,0.0555726595598621,0.0555726596450824,0,5,1219.944461125,1219.944461125,1219.944461125,0,true
17,61200000000,64800000000,61800000000,65100000000,12,0.756083333333333,0.751,0.759,788.453359014988,788.453359106117,2838432.09245396,2838432.09278202,249.479103059504,249.479103128645,0.316415803420788,0.316415803489557,0.000764921377812327,0.000764921377900736,0,0,0.0582193442075322,0.0582193442142611,0,4,1219.99357750889,1219.99357750889,1219.99357750889,0,true
18,64800000000,68400000000,65400000000,68700000000,12,0.755333333333333,0.75,0.763,800.500297815005,800.500300831265,2881801.07213402,2881801.08299255,247.272413816167,247.272413816167,0.308897340275065,0.30889734143898,0.000775095618394717,0.000775095621315253,0,0,0.0574912771941735,0.0574912774107988,0,5,1221.73862825291,1222.25542030722,1222.24811110722,26.31312,false
19,68400000000,72000000000,69000000000,72300000000,12,0.755583333333333,0.753,0.759,806.59714720832,806.59714720832,2903749.72994995,2903749.72994995,243.404520001785,243.404520001785,0.30176714713686,0.30176714713686,0.000787053738702879,0.000787053738702879,0,0,0.0575731204985996,0.0575731204985996,0,0,1235.68645403166,1245.82187986083,1245.81671440333,18.595647,false
20,72000000000,75600000000,72600000000,75900000000,12,0.756166666666667,0.751,0.759,799.983391869333,799.983395340708,2879940.2107296,2879940.22322655,261.023646698949,261.02364748732,0.326286331036928,0.326286332795169,0.000754208378513807,0.00075420838178655,0,0,0.0555393279022798,0.055539328143282,0,5,1236.978515625,1248,1248,0,true
21,75600000000,79200000000,76200000000,79500000000,12,0.755583333333333,0.754,0.757,797.913418471019,797.913418604003,2872488.30649567,2872488.30697441,288.301684186194,288.301684319178,0.361319508498359,0.361319508604805,0.000770793197909203,0.000770793198037668,0,0,0.0525457104614445,0.0525457104702021,0,2,1236.978515625,1248,1248,0,true
22,79200000000,82800000000,79800000000,83100000000,12,0.746583333333333,0.74,0.756,771.875959246424,771.875959390269,2778753.45328713,2778753.45380497,326.237834177547,326.237834321393,0.422655778133122,0.422655778240715,0.000779820964577566,0.000779820964722892,0,0,0.0519061145977676,0.0519061146074408,0,4,1236.978515625,1248,1248,0,true
23,82800000000,86400000000,83400000000,86700000000,12,0.732,0.701,0.75,749.72527169625,749.725271770954,2699010.9781065,2699010.97837543,321.470028619547,321.470028688159,0.428783770206399,0.428783770262158,0.00078883075434101,0.000788830754419611,0,0,0.0509598630128986,0.0509598630179763,0,9,1236.978515625,1248,1248,0,true
