hour_index,priority_tier,priority_interpretation,observed_cpu_ncu_lower,observed_cpu_ncu_upper,observed_cpu_time_ncu_seconds_lower,observed_cpu_time_ncu_seconds_upper,priority_cpu_share_lower,priority_cpu_share_upper,observed_cpu_overlap_seconds,missing_cpu_overlap_seconds,cpu_conflict_overlap_seconds,fragment_piece_count,usage_group_count,cpu_conflict_usage_group_count,exact_duplicate_usage_group_count,synthesized_cpu_time_ncu_seconds_lower,synthesized_cpu_time_ncu_seconds_upper
0,1_free,low_priority_usage_candidate_not_observed_flexibility,135.500691284074,135.500691284074,487802.488622665,487802.488622665,0.211937531330087,0.211937531331931,82686344,0,0,345901,323189,0,6,3094.20985569514,3094.20985569514
0,2_beb,low_priority_usage_candidate_not_observed_flexibility,54.6251239589362,54.6251239589362,196650.44625217,196650.44625217,0.0854395192433801,0.0854395192441235,41946633.040188,0,0,203826,182702,0,4,735.805950539093,735.805950539093
0,3_mid,low_priority_usage_candidate_not_observed_flexibility,64.7604071773423,64.7604071773423,233137.465838432,233137.465838432,0.101292183051101,0.101292183051983,35787125,0,0,202342,175008,0,2,8135.30669335576,8135.30669335576
0,4_production,noncandidate_priority_tier,354.367604776223,354.367604781787,1275723.3771944,1275723.37721443,0.554268724598821,0.5542687246027,116097194,0,1,440535,422221,1,14,77803.0108567023,77803.0108567023
0,5_monitoring,noncandidate_priority_tier,25.6819275909,25.6819275909,92454.93932724,92454.93932724,0.0401692735426888,0.0401692735430384,4081011,0,0,14058,13820,0,0,1964.03929743977,1964.03929743977
0,ambiguous,ambiguous_priority_not_reassigned,4.40684032776204,4.40684032776204,15864.6251799433,15864.6251799433,0.00689276823004321,0.00689276823010319,9628576.959812,0,0,33337,33337,0,0,28.5039450075378,28.5039450075378
0,unknown,unknown_priority_not_reassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1_free,low_priority_usage_candidate_not_observed_flexibility,156.043079793453,156.043079996109,561755.087256431,561755.087985992,0.220671678427234,0.220671679967014,94689778,0,3,397972,370752,2,3,3178.39912657862,3178.39912657862
1,2_beb,low_priority_usage_candidate_not_observed_flexibility,69.1942461634019,69.1942462518817,249099.286188247,249099.286506774,0.0978525318529396,0.0978525325653671,49448803.412937,0,1,266044,230902,1,28,526.687344872552,526.687344872552
1,3_mid,low_priority_usage_candidate_not_observed_flexibility,62.2253795814514,62.2253795867496,224011.366493225,224011.366512299,0.0879973592379349,0.0879973597942823,35801955,0,1,192834,167002,1,10,7782.82298536052,7782.82298536052
1,4_production,noncandidate_priority_tier,389.251598205037,389.251602329678,1401305.75353813,1401305.76838684,0.550468525079747,0.550468527932603,129658997,0,3,501019,476482,3,13,80858.0549316903,80858.0549316903
1,5_monitoring,noncandidate_priority_tier,27.3316147128741,27.3316147128741,98393.8129663467,98393.8129663467,0.0386515909521349,0.0386515911937908,4443693,0,0,15103,14951,0,1,2105.06692076825,2105.06692076825
1,ambiguous,ambiguous_priority_not_reassigned,3.0818832386528,3.0818832386528,11094.7796591501,11094.7796591501,0.00435831148485126,0.00435831151210011,7892492.587063,0,0,26771,26771,0,0,23.0203628540039,23.0203628540039
1,unknown,unknown_priority_not_reassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1_free,low_priority_usage_candidate_not_observed_flexibility,152.973609889878,152.973609990809,550704.995603561,550704.995966911,0.213865348587174,0.213865348820239,93112350,0,1,383122,359412,1,10,3134.37366916588,3134.37366916588
2,2_beb,low_priority_usage_candidate_not_observed_flexibility,77.7004138678771,77.7004138678771,279721.489924358,279721.489924358,0.108629364939736,0.108629365017102,49138394.715163,0,0,236319,210994,0,7,356.939542295013,356.939542295013
2,3_mid,low_priority_usage_candidate_not_observed_flexibility,71.6519328106774,71.6519328106774,257946.958118439,257946.958118439,0.100173262540965,0.100173262612309,41566403,0,0,228797,199401,0,0,7843.47095489502,7843.47095489502
2,4_production,noncandidate_priority_tier,382.880995270941,382.880995679432,1378371.58297539,1378371.58444595,0.535288260603774,0.5352882609447,125615992,0,7,472497,453887,4,18,86536.0433771668,86536.0433771668
2,5_monitoring,noncandidate_priority_tier,27.4360072917408,27.4360072917408,98769.626250267,98769.626250267,0.038357016394425,0.0383570164217428,4447012,0,0,15134,14973,0,2,2094.72570419312,2094.72570419312
2,ambiguous,ambiguous_priority_not_reassigned,2.63705613588668,2.63705613588668,9493.40208919206,9493.40208919206,0.00368674655760403,0.00368674656022973,6896103.284837,0,0,23054,23054,0,0,23.3001708984375,23.3001708984375
2,unknown,unknown_priority_not_reassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1_free,low_priority_usage_candidate_not_observed_flexibility,140.27783299817,140.277833343347,505000.198793411,505000.200036049,0.203860298775655,0.203860299175025,91003910,0,3,383926,356500,3,12,2863.79184727374,2863.79184727374
3,2_beb,low_priority_usage_candidate_not_observed_flexibility,71.4257719960449,71.4257719960449,257132.779185762,257132.779185762,0.103800286195477,0.103800286247547,48530262.610565,0,0,234432,210309,0,5,322.862478426704,322.862478426704
3,3_mid,low_priority_usage_candidate_not_observed_flexibility,66.6668821893798,66.6668821893798,240000.775881767,240000.775881767,0.0968843774121329,0.0968843774607332,39918588,0,0,187621,169108,0,0,7594.58230608175,7594.58230608175
3,4_production,noncandidate_priority_tier,379.451042289469,379.451042289469,1366023.75224209,1366023.75224209,0.551441387136843,0.551441387413464,122723179,0,0,456637,440368,0,18,84618.616801897,84618.616801897
3,5_monitoring,noncandidate_priority_tier,27.755653043588,27.755653043588,99920.3509569168,99920.3509569168,0.0403362070713961,0.0403362070916301,4454633,0,0,15182,15010,0,1,2104.6820640564,2104.6820640564
3,ambiguous,ambiguous_priority_not_reassigned,2.53047670218967,2.53047670218967,9109.71612788283,9109.71612788283,0.00367744300912589,0.00367744301097061,6576014.389435,0,0,22149,22149,0,0,22.3597526550293,22.3597526550293
3,unknown,unknown_priority_not_reassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1_free,low_priority_usage_candidate_not_observed_flexibility,135.202609459824,135.202609459824,486729.394055367,486729.394055367,0.191610741786698,0.191610741839932,85601285,0,0,348748,327624,0,4,3266.37326254694,3266.37326254694
