arm,network_method,training_scenario_count,holdout_scenario_count,correct_committed_flexibility_mw,b6_committed_flexibility_mw,b6_extra_failure_probability,b6_extra_expected_shortfall_mwh,b6_extra_expected_terminal_debt_mwh,h2_evaluated,h2_b6_underdelivers_out_of_sample,arm_gate_passed,training_parameter_status,holdout_parameter_status,parameter_status,security_certified
manual,minimum_curtailment,1,6,76.80000000000001,40.0,0.0,0.0,0.0,True,False,True,manual_chronological_scenarios_synthetic_not_empirical,continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery,trace_derived_temporal_mechanism_sensitivity_not_empirical|selected_n1_dc_derived_not_empirical_outage|training_source=manual_chronological_scenarios_synthetic_not_empirical|holdout_source=continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|fixed_policy_temporal_holdout_synthetic_not_empirical,False
manual,overload_sensitivity,1,6,76.80000000000004,40.0,0.0,0.0,0.0,True,False,True,manual_chronological_scenarios_synthetic_not_empirical,continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery,trace_derived_temporal_mechanism_sensitivity_not_empirical|selected_n1_dc_derived_not_empirical_outage|training_source=manual_chronological_scenarios_synthetic_not_empirical|holdout_source=continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|fixed_policy_temporal_holdout_synthetic_not_empirical,False
generated,minimum_curtailment,12,6,12.3244364027581,12.324436402758044,0.0,1.7763568394002505e-14,0.0,True,False,True,continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery,continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery,trace_derived_temporal_mechanism_sensitivity_not_empirical|selected_n1_dc_derived_not_empirical_outage|training_source=continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|holdout_source=continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|fixed_policy_temporal_holdout_synthetic_not_empirical,False
generated,overload_sensitivity,12,6,12.3244364027581,12.324436402758044,0.0,1.7763568394002505e-14,0.0,True,False,True,continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery,continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery,trace_derived_temporal_mechanism_sensitivity_not_empirical|selected_n1_dc_derived_not_empirical_outage|training_source=continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|holdout_source=continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|fixed_policy_temporal_holdout_synthetic_not_empirical,False
reduced,minimum_curtailment,4,6,12.324436402758081,12.324436402758039,0.0,1.4210854715202004e-14,0.0,True,False,True,continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|chronological_training_distribution_reduced_by_fast_forward_selection_representatives_are_input_trajectories_with_redistributed_probability_mass_not_new_empirical_data,continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery,trace_derived_temporal_mechanism_sensitivity_not_empirical|selected_n1_dc_derived_not_empirical_outage|training_source=continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|chronological_training_distribution_reduced_by_fast_forward_selection_representatives_are_input_trajectories_with_redistributed_probability_mass_not_new_empirical_data|holdout_source=continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|fixed_policy_temporal_holdout_synthetic_not_empirical,False
reduced,overload_sensitivity,4,6,12.324436402758081,12.324436402758039,0.0,1.4210854715202004e-14,0.0,True,False,True,continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|chronological_training_distribution_reduced_by_fast_forward_selection_representatives_are_input_trajectories_with_redistributed_probability_mass_not_new_empirical_data,continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery,trace_derived_temporal_mechanism_sensitivity_not_empirical|selected_n1_dc_derived_not_empirical_outage|training_source=continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|chronological_training_distribution_reduced_by_fast_forward_selection_representatives_are_input_trajectories_with_redistributed_probability_mass_not_new_empirical_data|holdout_source=continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|fixed_policy_temporal_holdout_synthetic_not_empirical,False
