candidate_group_id,candidate_key_json,candidate_group_size,source_obs_ids,postal_code,start_timestamp_local,restoration_timestamp_local,cause_category,normalized_cause_category_detail,cause_detail_complete,nerc_regions,multi_nerc,reported_duration_min,reported_duration_min_min,reported_duration_min_max,timestamp_duration_min,timestamp_duration_min_min,timestamp_duration_min_max,duration_delta_min,duration_delta_min_min,duration_delta_min_max,complete_temporal,timestamp_duration_nonnegative,reported_duration_positive,reported_duration_nonnegative,demand_loss_known,demand_loss_positive,demand_loss_zero,demand_loss_known_count,demand_loss_max_mw,demand_loss_min_mw,customers_known_count,customers_max,customers_min
2562e1670760fc92ffa64a0b0c764a9d0e9d149103de1770d3659d45db5f94a0,"[""AR"",""2011-02-24T00:00:00"",""16:51:00"",""2011-02-24T00:00:00"",""16:54:00"",""islanding"",""__MISSING__""]",1,1287,AR,2011-02-24T16:51:00,2011-02-24T16:54:00,islanding,__MISSING__,false,SPP,false,3,3,3,3,3,3,0,0,0,true,true,true,true,true,true,false,1,4,4,0,__MISSING__,__MISSING__
ce3c0d4832b20ef47073613bbcbd0230356fa1dfe7d0123d0a4a86e7d0ed5119,"[""AR"",""2011-04-19T00:00:00"",""23:13:00"",""2011-04-20T00:00:00"",""19:14:00"",""severe weather"",""__MISSING__""]",1,1293,AR,2011-04-19T23:13:00,2011-04-20T19:14:00,severe weather,__MISSING__,false,SERC,false,1201,1201,1201,1201,1201,1201,0,0,0,true,true,true,true,true,true,false,1,22,22,0,__MISSING__,__MISSING__
5c2c59228a546f99c8053efefd5d7261add73b2b09963be71331651a7b53b599,"[""AR"",""2011-04-26T00:00:00"",""18:14:00"",""2011-04-28T00:00:00"",""17:00:00"",""severe weather"",""__MISSING__""]",1,1295,AR,2011-04-26T18:14:00,2011-04-28T17:00:00,severe weather,__MISSING__,false,SPP,false,2806,2806,2806,2806,2806,2806,0,0,0,true,true,true,true,true,true,false,1,50,50,1,13000,13000
afd1a4483204ff00584c81e684eab8dff8e61ac1c99c799ee45b5e1307845be8,"[""AR"",""2011-06-06T00:00:00"",""15:00:00"",""2011-06-08T00:00:00"",""15:00:00"",""public appeal"",""__MISSING__""]",1,1300,AR,2011-06-06T15:00:00,2011-06-08T15:00:00,public appeal,__MISSING__,false,SPP,false,2880,2880,2880,2880,2880,2880,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,1,13000,13000
99d069817817c11f6d56764b4f099a241b98369dd0eee43b08e5d1da7b8b3633,"[""AR"",""2011-06-18T00:00:00"",""16:45:00"",""2011-06-20T00:00:00"",""23:59:00"",""public appeal"",""__MISSING__""]",1,1303,AR,2011-06-18T16:45:00,2011-06-20T23:59:00,public appeal,__MISSING__,false,SPP,false,3314,3314,3314,3314,3314,3314,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
02d85a5d9a472ecec05461ef359b4f03f572f02b25a3be2adc638187abfcfa44,"[""AR"",""2011-08-03T00:00:00"",""16:30:00"",""2011-08-03T00:00:00"",""21:00:00"",""public appeal"",""__MISSING__""]",1,1299,AR,2011-08-03T16:30:00,2011-08-03T21:00:00,public appeal,__MISSING__,false,SPP,false,270,270,270,270,270,270,0,0,0,true,true,true,true,true,false,true,1,0,0,1,0,0
6a881368a496429426cffaa80305c6889b5d175a428f536fb7c7a03e9ecfc55b,"[""AR"",""2012-02-17T00:00:00"",""03:00:00"",""2012-02-17T00:00:00"",""11:33:00"",""intentional attack"",""vandalism""]",1,1301,AR,2012-02-17T03:00:00,2012-02-17T11:33:00,intentional attack,vandalism,true,SERC,false,513,513,513,513,513,513,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
4cffe501085493956ee9dfb5fd6ea9ce41408f330648de66369c48ed25b48aa6,"[""AR"",""2012-03-02T00:00:00"",""13:45:00"",""2012-03-02T00:00:00"",""15:30:00"",""equipment failure"",""__MISSING__""]",1,1289,AR,2012-03-02T13:45:00,2012-03-02T15:30:00,equipment failure,__MISSING__,false,SERC,false,105,105,105,105,105,105,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
fd193fb12b65c7b31e0717768216553bacac56dbb9394905612b0f9eaab2f737,"[""AR"",""2012-06-29T00:00:00"",""16:00:00"",""2012-06-29T00:00:00"",""21:00:00"",""public appeal"",""__MISSING__""]",1,1297,AR,2012-06-29T16:00:00,2012-06-29T21:00:00,public appeal,__MISSING__,false,SERC,false,300,300,300,300,300,300,0,0,0,true,true,true,true,true,true,false,1,45,45,1,7935,7935
67e2ece38fe62b22064d6fd475dcab4f152f28ffb1dd1db3e7146d12f3462293,"[""AR"",""2012-07-16T00:00:00"",""11:27:00"",""2012-07-16T00:00:00"",""12:29:00"",""public appeal"",""__MISSING__""]",1,1309,AR,2012-07-16T11:27:00,2012-07-16T12:29:00,public appeal,__MISSING__,false,SPP,false,62,62,62,62,62,62,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
