candidate_group_id,candidate_group_size,source_obs_ids,cause_category,normalized_cause_category_detail,nerc_regions,multi_nerc,complete_temporal,timestamp_duration_nonnegative,reported_duration_positive,reported_duration_nonnegative,demand_loss_known,demand_loss_positive,cause_detail_complete,primary_duration_member,known_loss_sensitivity_member,positive_loss_sensitivity_member,zero_duration_sensitivity_member,detail_complete_sensitivity_member,single_nerc_sensitivity_member,source_rows_primary_duration,source_rows_known_loss_sensitivity,source_rows_positive_loss_sensitivity,source_rows_zero_duration_sensitivity
2714091d6862191ee19148119f9881983980c04eae16148a3c076c6a650d310b,1,1307,severe weather,wind,SERC,false,true,true,true,true,false,false,true,true,false,false,true,true,true,1,0,0,1
3cc8fe3e88a7d9214f05733e81067c36cbb67a30b3c2e556f17ed037c097f09a,1,1296,severe weather,uncontrolled loss,SPP,false,true,true,true,true,false,false,true,true,false,false,true,true,true,1,0,0,1
0b59d2a870ac0bb20a9c12bcb272be9e5f6aceae576edbc010087896b49fa0a0,1,1310,intentional attack,sabotage,SERC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
86a2b5dac8c79ce8a426cb50bb96188e874b30cb5a5308d94593f6dc0e0f420c,1,513,intentional attack,vandalism,WECC,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0,0,0,0
a8b160914630533886edd29d9bcc7742602ceb1eb4d59764fa6390b8bad40d49,1,505,severe weather,wildfire,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
2ade0b446fa79c3878ee743b641ab4e1715c131dceb1b07477f6ad87f558527a,1,506,intentional attack,vandalism,WECC,false,false,false,false,false,true,false,true,false,false,false,false,false,false,0,0,0,0
468082b27fa012a08b72836896391a444d538af47d5614a687f2a9bbde84cc94,1,497,equipment failure,breaker trip,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
6b7ddba1ba005345e4cc90374b1775b999e7b0e859ead0d51394e428a8b7d31a,1,519,equipment failure,breaker trip,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
c484e5e1df4bbe2dd44e0e0dc5912d25295183d25bfe4f648482f8fedbcb42af,1,518,equipment failure,line fault,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
78cd0756bb2e3125418d33fd7f703be157e70cafa18064eb60c7508a7ea8d0a3,2,500;514,severe weather,wildfire,WECC,false,true,true,true,true,false,false,true,true,false,false,true,true,true,2,0,0,2
0b308ce6a7deb53cfcaa784fc31510cb4db064b2adde0397cfa5756741542189,1,501,severe weather,__MISSING__,WECC,false,true,true,true,true,false,false,false,true,false,false,true,false,true,1,0,0,1
6a43e47355ff207e7ca04f4f4b02fba6d576683bfc72e7fbbdbb07b8325463da,1,516,system operability disruption,__MISSING__,WECC,false,true,true,true,true,true,true,false,true,true,true,true,false,true,1,1,1,1
9c0af66bedf98017bc60c30dfd179827cd1e3d2c9f0c4609e4ae091836f9c4a6,1,511,equipment failure,__MISSING__,WECC,false,true,true,true,true,true,true,false,true,true,true,true,false,true,1,1,1,1
bad0d060089ddedc8e7d23595e0af506d67189ff4056d80606733cc84f5badaf,1,492,system operability disruption,majorsystem interruption,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
23081c572500a6146b4a27e81f67397edadcbb4bdefe0b47bca1912b9711b2b4,1,496,intentional attack,vandalism,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
adeb8530a437b659748278ca035d6e4717c079f69807a553be8fcfc97ae8c8a9,1,499,intentional attack,sabotage,WECC,false,true,true,true,true,false,false,true,true,false,false,true,true,true,1,0,0,1
