poi_bus,network_method,feasible,proven_infeasible,grid_need_mw,critical_state,direct_physical_dispatch_witness,termination_condition,failure_details_json,security_certified
3,minimum_curtailment,True,False,118.66169466747488,branch_6_sustained,True,optimal,{},False
3,overload_sensitivity,True,False,118.66169466747496,branch_26_sustained,False,optimal,{},False
8,minimum_curtailment,True,False,36.80000000000001,branch_11_sustained,True,optimal,{},False
8,overload_sensitivity,True,False,36.80000000000005,branch_11_sustained,False,optimal,{},False
14,minimum_curtailment,True,False,0.0,branch_0_sustained,True,optimal,{},False
14,overload_sensitivity,True,False,0.0,branch_0_sustained,True,optimal,{},False
18,minimum_curtailment,True,False,0.0,branch_0_sustained,True,optimal,{},False
18,overload_sensitivity,True,False,0.0,branch_0_sustained,True,optimal,{},False
