cell_id,families,poi_bus,network_method,hourly_cfe_target,threshold_label,network_activation_threshold,business_recovery_headroom_mw,max_flexibility_budget_mw,seed,training_network_activation_rate,training_green_call_rate,training_joint_overlap_rate,holdout_network_activation_rate,holdout_green_call_rate,holdout_joint_overlap_rate,mean_effective_recovery_headroom_mw,grid_need_mw,correct_training_feasible,b6_training_feasible,correct_training_termination_condition,b6_training_termination_condition,correct_training_proven_infeasible,b6_training_proven_infeasible,correct_committed_flexibility_mw,b6_committed_flexibility_mw,correct_failure_probability,b6_failure_probability,correct_expected_shortfall_mwh,b6_expected_shortfall_mwh,delta_failure_probability,delta_expected_shortfall_mwh,flexibility_underprovisioning_mw,region,region_reason,scientific_region,gate_passed,security_certified
poi3_minimum_curtailment_a0.70_q90_h40_b150_s20260822,multi_poi_network_definition,3,minimum_curtailment,0.7,q90,0.9805009394329972,40.0,150.0,20260822,0.010416666666666666,0.8229166666666666,0.010416666666666666,0.375,0.9375,0.3125,2.4858813903688364,118.66169466747488,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi3_minimum_curtailment_a0.85_q90_h40_b150_s20260822,multi_poi_network_definition,3,minimum_curtailment,0.85,q90,0.9805009394329972,40.0,150.0,20260822,0.010416666666666666,0.9166666666666666,0.010416666666666666,0.375,1.0,0.375,0.0,118.66169466747488,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi3_overload_sensitivity_a0.70_q90_h40_b150_s20260822,multi_poi_network_definition,3,overload_sensitivity,0.7,q90,0.9805009394329972,40.0,150.0,20260822,0.010416666666666666,0.8229166666666666,0.010416666666666666,0.375,0.9375,0.3125,2.4858813903688364,118.66169466747496,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi3_overload_sensitivity_a0.85_q90_h40_b150_s20260822,multi_poi_network_definition,3,overload_sensitivity,0.85,q90,0.9805009394329972,40.0,150.0,20260822,0.010416666666666666,0.9166666666666666,0.010416666666666666,0.375,1.0,0.375,0.0,118.66169466747496,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.50_q80_h20_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.5,q80,0.9708612624236891,20.0,150.0,20260822,0.052083333333333336,0.6041666666666666,0.041666666666666664,0.4166666666666667,0.5416666666666666,0.2708333333333333,8.08927942449657,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.50_q80_h40_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.5,q80,0.9708612624236891,40.0,150.0,20260822,0.052083333333333336,0.6041666666666666,0.041666666666666664,0.4166666666666667,0.5416666666666666,0.2708333333333333,15.338935598353727,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.50_q80_h80_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.5,q80,0.9708612624236891,80.0,150.0,20260822,0.052083333333333336,0.6041666666666666,0.041666666666666664,0.4166666666666667,0.5416666666666666,0.2708333333333333,25.807252284196057,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.50_q90_h20_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.5,q90,0.9805009394329972,20.0,150.0,20260822,0.010416666666666666,0.6041666666666666,0.010416666666666666,0.375,0.5416666666666666,0.25,8.08927942449657,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.50_q90_h40_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.5,q90,0.9805009394329972,40.0,150.0,20260822,0.010416666666666666,0.6041666666666666,0.010416666666666666,0.375,0.5416666666666666,0.25,15.338935598353727,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.50_q90_h80_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.5,q90,0.9805009394329972,80.0,150.0,20260822,0.010416666666666666,0.6041666666666666,0.010416666666666666,0.375,0.5416666666666666,0.25,25.807252284196057,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
