redispatch_fraction_pmax,state,kind,element_index,response_mode,branch_rating,evaluated,converged,secure,status,max_voltage_violation_pu,min_voltage_pu,max_branch_loading_fraction,max_loaded_branch_index,max_active_power_violation_mw,max_reactive_power_violation_mvar,max_target_deviation_mw,max_reference_redispatch_mw,total_up_redispatch_mw,total_down_redispatch_mw,ac_losses_mw,minimum_deviation_solved,economic_seed_used,dc_max_balance_residual_mw,remedial_action,remedial_parameter_status,post_remediation_secure,post_remediation_status,post_remediation_min_voltage_pu,post_remediation_max_loading_fraction
0.1,base,base,,base,rate_a,True,True,True,secure,0.0,1.012535022528632,0.9579061482694786,9,0.0,0.0,1.0683048009031921,1.0683048009031921,33.28834668783408,0.0,33.28834668783293,True,True,1.7621459846850485e-12,,,True,secure,1.012535022528632,0.9579061482694786
0.1,branch_0_immediate,branch,0,fixed,rate_c,True,True,True,secure,0.0,1.0106274701906692,0.8420439785869952,9,0.0,0.0,0.0013664049769737119,0.0013664049769737119,0.04253242891544584,0.0,33.33087911674829,True,True,1.3073986337985843e-12,,,True,secure,1.0106274701906692,0.8420439785869952
0.1,branch_0_sustained,branch,0,bounded,rate_a,True,True,True,secure,0.0,1.0094856492315742,0.9736332298325078,9,0.0,0.0,1.0253699925681588,39.99999587850914,148.64360100639058,142.96078792959568,38.97115976462783,True,True,8.526512829121202e-13,,,True,secure,1.0094856492315742,0.9736332298325078
0.1,branch_1_immediate,branch,1,fixed,rate_c,True,True,True,secure,0.0,1.0029429336699782,0.8331096329363344,9,0.0,0.0,0.006065957239002273,0.006065957238988062,0.1889369775541092,0.0,33.47728366538695,True,True,1.8758328224066645e-12,,,True,secure,1.0029429336699782,0.8331096329363344
0.1,branch_1_sustained,branch,1,bounded,rate_a,True,True,True,secure,0.0,1.0019549543830057,0.9642582692946385,9,0.0,0.0,1.0253732477867459,39.99998698583096,148.60228868287186,143.01049903982658,38.88013633087803,True,True,5.115907697472721e-13,,,True,secure,1.0019549543830057,0.9642582692946385
0.1,branch_2_immediate,branch,2,fixed,rate_c,True,True,True,secure,0.0,1.0155177650794733,0.8003806451805109,9,0.0,0.0,0.05346192992509202,0.05346192992507781,1.6549620822561497,0.0,34.94330877008906,True,True,1.4210854715202004e-12,,,True,secure,1.0155177650794733,0.8003806451805109
0.1,branch_2_sustained,branch,2,bounded,rate_a,True,True,True,secure,0.0,1.012611395546518,0.9203387178472591,9,0.0,0.0,1.0472736401309817,39.99997498926143,157.98542725367648,152.0929542649256,39.180819676583724,True,True,3.979039320256561e-13,,,True,secure,1.012611395546518,0.9203387178472591
0.1,branch_3_immediate,branch,3,fixed,rate_c,True,True,True,secure,0.0,0.9799426384049513,0.8145195460266073,9,0.0,0.0,0.04893235344117386,0.04893235344115965,1.5174734994777492,0.0,34.805820187310474,True,True,2.0463630789890885e-12,,,True,secure,0.9799426384049513,0.8145195460266073
0.1,branch_3_sustained,branch,3,bounded,rate_a,True,True,True,secure,0.0,0.9793852979698532,0.9392754367029633,9,0.0,0.0,1.0253724703213152,39.9999896510829,149.08142954531203,142.41539784472064,39.954378388424175,True,True,1.0800249583553523e-12,,,True,secure,0.9793852979698532,0.9392754367029633
0.1,branch_4_immediate,branch,4,fixed,rate_c,True,True,True,secure,0.0,1.0148849593746752,0.9522682188992233,9,0.0,0.0,0.03938954151648488,0.03938954151647067,1.22209161526914,0.0,34.51043830310209,True,True,1.6484591469634324e-12,"{""branch_rating_overrides_mva"": {""9"": 255.0}}",benchmark_candidates_not_installed,True,secure,1.0148849593746752,0.9522682188992233
0.1,branch_4_sustained,branch,4,bounded,rate_a,True,False,False,not_converged_or_infeasible,,,,,,,,,,,,False,False,1.1937117960769683e-12,"{""branch_rating_overrides_mva"": {""9"": 255.0}}",benchmark_candidates_not_installed,True,secure,1.0121575870157808,0.7468769929337574
0.1,branch_5_immediate,branch,5,fixed,rate_c,True,True,True,secure,0.0,1.0035213078962246,0.8402943414103953,9,0.0,0.0,0.0029551713626290166,0.0029551713626148057,0.0921289098381215,0.0,33.38047559767119,True,True,1.3073986337985843e-12,,,True,secure,1.0035213078962246,0.8402943414103953
0.1,branch_5_sustained,branch,5,bounded,rate_a,True,True,True,secure,0.0,1.0032130223919538,0.9665855567587086,9,0.0,0.0,1.0253698725300922,39.99999619102812,148.58443827187,143.03188411849084,38.84090084121226,True,True,4.547473508864641e-13,,,True,secure,1.0032130223919538,0.9665855567587086
0.1,branch_6_immediate,branch,6,fixed,rate_c,True,True,True,secure,0.0,0.9500000358996077,0.8668480387626798,9,0.0,0.0,0.42827217565562137,0.42827217565562137,12.992348360709503,0.0,46.280695048542384,True,True,2.0463630789890885e-12,,,True,secure,0.9500000358996077,0.8668480387626798
0.1,branch_6_sustained,branch,6,bounded,rate_a,True,True,True,secure,0.0,0.9505205931301236,0.9994803893227514,9,0.0,0.0,1.3647489481725685,39.999996476426304,155.13898854634542,134.57220078660902,53.85513444756907,True,True,1.4210854715202004e-12,,,True,secure,0.9505205931301236,0.9994803893227514
0.1,branch_7_immediate,branch,7,fixed,rate_c,True,True,True,secure,0.0,0.9935041175204258,0.8581888161478417,9,0.0,0.0,0.03447460917908174,0.03447460917908174,1.064777624059965,0.0,34.35312431189277,True,True,1.8758328224066645e-12,,,True,secure,0.9935041175204258,0.8581888161478417
