policy,role,implementable,feasible,primary_access_shortfall_mwh,minimum_contract_exposure_mwh,maximum_contract_exposure_mwh,minimum_x_exposure_mwh,maximum_x_exposure_mwh,displayed_endpoint_name,stage_count,all_stages_accepted,embedded_state_rows,maximum_original_constraint_violation,maximum_integrality_violation,failure_stage,termination_condition
B3,two_stage_root_commitment,True,True,403200.0,880800.0,880800.0,0.0,494400.0,minimum_contract_minimum_x,13,True,4708,1.2520473546828725e-10,0.0,,stochastic_baseline_embedded_layers_feasible
B4,multistage_nonanticipative_policy,True,True,274400.0,954400.0,1101600.0,0.0,522000.0,minimum_contract_minimum_x,13,True,4708,1.0322764865122736e-10,0.0,,stochastic_baseline_embedded_layers_feasible
B5,perfect_information_bound,False,True,274400.0,954400.0,1101600.0,0.0,522000.0,minimum_contract_minimum_x,13,True,10272,1.6713386230549077e-10,0.0,,exact_perfect_information_leaf_decomposition
