redispatch_fraction_pmax,feasible,termination_condition,solver_status,base_objective,joint_states,excluded_branch_indices,parameter_status
0.0,False,infeasible,error,,107,10,synthetic_sensitivity_not_for_certification
0.05,False,infeasible,error,,107,10,synthetic_sensitivity_not_for_certification
0.1,True,optimal,ok,76414.42157674432,107,10,synthetic_sensitivity_not_for_certification
0.2,True,optimal,ok,67630.80634700714,107,10,synthetic_sensitivity_not_for_certification
0.5,True,optimal,ok,61001.24495582477,107,10,synthetic_sensitivity_not_for_certification
1.0,True,optimal,ok,61001.244955824804,107,10,synthetic_sensitivity_not_for_certification
